film,genre
1,1
1,2
1,3
41,4
41,1
61,5
121,6
181,6
221,6
241,6
261,6
281,1
281,5
361,6
381,1
381,5
421,3
481,5
501,4
521,6
541,6
581,4
601,3
601,1
621,6
621,7
641,1
641,4
661,3
681,3
681,8
681,2
681,9
701,6
721,10
721,11
721,12
741,13
741,10
2,6
761,6
22,5
22,4
781,13
781,10
821,10
841,1
841,3
861,14
881,6
941,2
941,1
981,1
1101,4
1141,1
1141,3
1201,12
1241,6
1261,6
1281,2
1281,3
1321,14
1381,6
1421,3
1461,4
1481,6
1541,6
1561,6
1641,6
1701,3
1721,3
1781,6
1801,3
1821,12
1841,8
1841,3
1941,1
2001,8
2001,7
2001,3
2021,12
2041,8
2061,4
2081,6
2101,1
2141,3
2141,13
2141,12
2201,10
2201,15
2221,1
2221,10
2241,5
2241,16
2241,17
2241,18
2241,19
2241,20
2261,5
2281,3
2281,21
2281,22
2281,23
2281,20
2301,6
2301,7
2341,3
2341,1
2341,24
2341,25
2341,26
2341,27
2341,28
2341,20
2401,13
2401,1
2421,1
2461,5
2481,5
2481,12
2481,29
2481,30
2481,31
2481,32
2481,33
2481,34
2481,35
2481,20
2501,1
2521,1
2561,12
2561,3
2581,6
2601,5
2621,3
2621,12
2641,13
2641,1
2641,2
2661,6
2681,3
2721,3
2741,3
2761,7
2781,6
2801,4
2821,3
2821,36
2841,1
2861,7
2921,3
2941,8
2941,3
2941,2
2961,4
2981,12
2981,10
3021,12
3021,2
3041,3
3041,37
3041,38
3041,39
3041,20
3061,3
3081,1
3121,7
3161,6
3181,1
3201,6
3221,12
3221,6
3261,4
3261,36
3261,9
3281,40
3341,5
3341,29
3341,31
3341,32
3341,41
3341,42
3341,20
3361,3
3401,8
3401,3
3401,12
3401,11
3421,36
3421,6
3481,3
3481,8
3501,12
3521,7
3541,10
3541,12
3561,5
3581,3
3581,43
3601,9
3601,8
3601,3
3601,2
3621,3
3621,2
3641,6
3661,1
3661,3
3661,8
3661,37
3661,44
3661,45
3661,46
3661,47
3661,39
3661,20
3701,13
3721,6
3741,9
3741,36
3741,6
3781,4
3781,1
3821,6
3841,3
3861,36
3861,3
3861,43
3861,48
3861,49
3861,20
3881,3
3901,3
3921,3
3921,13
3921,48
3921,30
3921,37
3921,39
3921,22
3921,44
3921,50
3921,51
3921,20
3961,6
3961,16
3981,9
3981,1
3981,13
4001,3
4041,15
4041,1
4061,7
4101,6
4141,2
4141,12
4201,6
4221,3
4241,12
4321,6
4361,4
4361,1
4401,3
4421,3
4421,8
4441,1
4441,8
4481,6
4501,13
4501,12
4521,1
4521,3
4541,15
4541,3
4541,40
4541,4
4541,17
4541,52
4541,53
4541,20
4561,7
4581,6
4581,7
4601,1
4601,3
4641,3
4661,6
4661,15
4681,1
4721,1
4741,15
4741,9
4741,4
4781,3
4781,4
4821,4
4841,9
4841,4
4861,5
4861,12
4861,3
4861,11
4861,29
4861,54
4861,33
4861,32
4861,31
4861,55
4861,35
4861,20
4881,4
4881,1
4901,1
4921,1
4961,5
4981,3
4981,8
5001,1
5021,3
5041,6
5061,3
5081,10
5081,4
5081,16
5121,3
5141,3
5161,7
5181,6
5201,2
5201,3
5241,3
5261,1
5281,5
5281,12
5301,5
5321,6
5341,4
5341,3
5361,1
5381,6
5401,5
5401,6
5421,1
5421,10
5421,8
5441,1
5461,13
5461,12
5481,3
5521,3
5561,1
5581,12
5581,11
5581,54
5581,56
5581,57
5581,55
5581,32
5581,58
5581,59
5581,20
5601,8
5601,3
5641,6
5641,5
5641,29
5641,31
5641,20
5661,1
5661,4
5661,9
5661,15
5701,3
5721,6
5741,3
5761,12
5761,3
5801,5
5861,11
5861,3
5881,3
5881,12
5881,13
5901,7
5921,10
5941,3
5941,1
5941,13
5961,14
5961,4
5981,6
6001,1
6001,40
6001,5
6021,6
6021,7
6041,13
6041,5
6041,2
6061,3
6061,13
6081,3
6081,13
6101,36
6101,4
6101,40
6121,8
6121,3
6121,2
6141,5
6141,3
6141,1
6141,40
6141,11
6161,1
6181,3
6181,1
6201,8
6201,40
6201,1
6201,3
6221,8
6221,3
6241,1
6261,5
6281,3
6281,2
6281,16
6301,3
6321,3
6321,1
6341,3
6341,8
6361,3
6361,4
6381,6
6381,3
6401,1
6401,7
6421,10
6421,3
6421,12
6421,56
6421,60
6421,20
6441,2
6441,6
6481,16
6481,1
6481,10
6481,24
6481,28
6481,26
6481,61
6481,27
6481,62
6481,20
6501,6
6541,13
6541,10
6541,3
6581,1
6601,6
6621,7
6641,6
6661,6
6681,2
6681,6
6701,3
6701,8
6721,3
6721,40
6721,2
6721,1
6721,9
6741,7
6741,6
6761,3
6821,6
6861,1
6921,6
6941,9
6941,1
6941,15
6961,3
6961,10
6961,13
7001,3
7021,1
7041,3
7041,8
7061,7
7081,3
7081,1
7081,13
7081,63
7081,64
7081,65
7081,22
7081,49
7081,20
7101,8
7101,3
7101,2
7121,6
7121,4
7141,1
7141,5
7141,10
7161,3
7181,40
7181,15
7201,43
7221,40
7221,1
7221,6
7261,8
7261,10
7301,36
7321,6
7321,11
7341,1
7361,6
7401,2
7401,1
7421,9
7421,15
7421,40
7441,3
7461,3
7461,8
7481,3
7481,16
7501,36
7501,10
7501,43
7521,13
7521,11
7541,6
7621,6
7641,13
7641,5
7641,12
7661,1
7661,8
7701,1
7721,4
7741,5
7741,1
7821,3
7861,16
7861,1
7861,40
7921,4
7941,6
7961,6
8021,4
8041,2
8041,6
3,1
5,1
6,3
7,6
7,7
8,4
8,10
9,5
10,5
10,1
11,3
11,1
11,4
12,16
12,1
13,5
14,6
15,3
17,1
18,6
18,5
19,1
20,4
23,16
23,4
24,7
25,3
26,3
28,6
29,6
31,6
32,5
33,5
34,6
35,3
35,7
35,43
36,6
37,5
38,5
43,5
45,12
46,6
47,5
48,5
50,5
52,6
52,5
53,4
54,5
55,5
55,1
56,5
57,9
57,4
58,5
60,6
63,3
63,1
64,40
64,4
67,8
67,3
68,3
68,8
70,2
71,4
72,13
72,3
73,4
75,6
76,5
76,6
77,4
80,5
80,1
83,1
83,4
86,7
87,9
87,2
87,4
90,13
91,16
91,12
91,3
91,66
91,67
91,20
92,2
93,15
93,5
96,1
98,10
99,3
99,12
100,6
103,9
105,6
106,1
107,5
108,6
109,4
109,5
109,11
110,4
110,1
110,9
111,6
112,6
113,6
114,5
115,10
115,4
115,40
115,15
116,6
117,12
117,3
118,1
119,3
123,4
125,4
126,6
127,3
127,5
128,3
130,6
131,1
131,3
131,15
131,4
131,5
133,6
134,5
136,5
137,13
137,6
137,2
138,10
138,16
139,6
143,6
143,2
144,6
146,2
147,43
147,36
147,6
148,6
150,5
151,3
153,14
153,5
154,6
156,8
156,3
156,1
157,6
158,3
158,9
158,15
159,12
160,5
163,5
164,2
167,1
170,12
170,10
170,5
173,5
174,3
174,6
175,4
176,5
177,6
178,1
183,6
184,5
188,5
189,4
190,1
193,3
193,36
194,9
195,12
195,40
195,16
195,4
196,6
196,5
198,6
199,3
199,1
203,12
203,2
205,3
205,12
206,36
206,6
206,2
207,6
208,5
209,6
210,6
211,16
211,4
212,12
216,6
217,1
217,5
219,8
219,3
220,3
223,12
223,5
224,6
225,6
226,6
226,7
228,6
229,5
229,1
230,5
234,12
234,3
234,10
236,10
237,5
239,5
240,6
243,7
245,9
245,1
246,4
246,9
248,5
249,6
253,1
253,5
253,12
254,7
254,4
254,1
255,3
256,6
256,15
256,10
259,6
266,5
267,6
269,5
270,6
270,7
272,36
272,6
273,6
274,4
275,12
277,5
277,12
278,4
279,4
280,1
280,8
280,7
280,3
283,1
285,4
285,5
286,3
287,6
288,3
289,4
290,7
291,6
293,6
295,3
296,8
296,3
299,6
300,3
304,1
305,6
309,4
310,10
310,15
311,6
314,6
317,15
317,3
318,6
319,6
320,5
323,5
323,4
323,1
324,1
326,9
326,4
329,1
331,7
331,4
331,40
331,1
332,4
333,3
333,12
340,4
344,5
345,6
348,43
348,40
348,3
349,12
349,5
349,10
350,6
352,6
353,4
357,3
357,43
358,12
358,3
359,5
363,43
363,5
364,6
364,7
369,3
371,10
371,4
372,6
373,6
374,3
374,10
374,13
374,12
375,8
375,3
377,3
380,6
383,4
384,1
385,6
387,1
387,8
388,5
390,5
390,4
391,3
394,5
395,12
395,3
396,9
397,6
398,6
399,5
400,6
403,6
405,6
407,5
408,3
408,1
409,4
411,6
414,1
416,6
417,9
417,3
418,4
419,3
420,6
425,4
425,9
426,5
428,5
429,15
429,9
430,6
432,9
432,10
434,2
434,6
435,6
436,4
437,9
438,6
439,6
443,4
446,9
446,4
449,3
449,10
451,3
453,6
454,4
455,6
456,6
456,15
458,10
459,1
459,5
460,4
466,4
466,6
466,1
466,7
467,1
468,8
468,3
471,4
472,4
473,6
474,6
475,3
475,8
475,12
476,3
477,1
480,16
480,10
480,1
484,3
485,6
487,6
488,4
489,4
489,8
489,40
490,8
490,1
492,5
494,3
498,4
500,10
500,15
500,1
500,3
503,6
505,7
505,4
506,3
507,4
508,6
509,4
510,4
511,4
512,1
513,3
513,2
515,4
517,6
518,9
520,6
523,4
524,4
525,3
525,4
527,7
528,6
529,6
532,12
533,6
533,7
534,6
535,3
536,6
537,12
538,3
540,4
543,3
545,6
547,13
547,10
548,4
549,15
549,11
549,10
549,2
550,1
551,5
554,6
555,9
558,5
558,4
558,3
559,6
560,6
560,36
563,4
565,10
565,2
565,3
567,8
567,1
570,10
571,4
571,1
574,12
574,10
574,2
575,1
576,4
576,3
577,16
578,40
580,9
585,10
585,15
586,8
587,6
588,6
588,43
589,6
591,1
592,4
594,7
597,7
599,6
599,10
600,6
603,12
603,1
604,10
604,6
606,6
607,12
607,11
607,3
608,6
612,10
612,1
612,15
613,2
613,6
615,6
615,7
617,3
619,7
620,3
627,1
628,3
628,1
630,5
631,6
632,6
634,10
635,4
636,4
637,6
638,4
639,6
640,5
644,13
644,10
644,3
645,3
646,4
648,4
649,6
650,1
652,8
652,1
654,4
655,3
656,4
657,4
658,16
658,10
659,5
660,6
665,6
671,4
671,6
672,3
674,4
675,1
677,6
680,7
683,6
684,6
686,3
687,3
688,3
689,6
692,16
692,10
693,6
694,6
695,6
695,14
696,6
698,11
699,36
699,3
700,6
703,6
704,3
704,36
705,4
707,3
707,2
708,1
708,4
709,7
711,10
712,6
713,3
714,43
714,8
714,3
716,4
717,3
720,16
720,3
720,13
720,1
720,10
720,4
723,4
725,5
725,40
725,11
727,6
729,3
730,13
730,1
731,1
731,4
733,4
734,40
734,9
735,6
736,6
738,1
739,4
740,3
746,4
747,4
751,3
754,5
755,1
758,1
760,6
763,4
766,1
767,1
767,5
768,10
772,6
773,1
775,40
775,5
780,6
785,5
787,4
788,1
789,1
789,10
792,3
794,1
795,6
796,3
799,3
799,36
800,3
803,4
804,3
806,6
808,1
808,4
809,9
809,6
811,7
811,6
812,4
813,3
814,6
815,5
817,6
818,6
818,36
819,8
819,3
823,6
824,4
826,4
827,4
828,4
829,11
831,13
831,10
831,3
833,6
834,3
834,8
835,7
835,6
836,1
836,3
837,11
838,4
838,1
843,6
844,6
844,7
844,4
845,3
846,6
847,3
848,6
853,6
858,6
859,1
860,4
863,7
865,3
866,6
868,6
868,36
870,4
870,1
873,4
874,12
876,6
877,6
878,4
880,13
880,10
883,6
886,13
886,1
888,3
888,2
889,4
890,8
890,1
891,1
891,15
892,6
893,6
894,4
897,2
897,1
897,4
899,3
900,1
900,15
903,6
903,3
905,4
909,3
911,3
911,2
912,4
915,4
916,6
917,1
918,3
920,6
924,4
926,6
928,6
929,3
931,3
932,3
933,4
936,3
937,7
939,1
940,6
946,3
946,1
947,6
949,3
950,8
954,7
954,1
955,6
956,4
960,9
960,7
963,6
965,1
967,3
967,7
967,40
968,4
969,3
973,3
974,6
979,6
983,3
984,6
988,6
989,4
991,3
991,13
993,1
995,6
998,6
1000,3
1004,4
1005,1
1007,4
1008,6
1008,43
1009,6
1011,3
1012,6
1013,4
1013,3
1014,6
1016,4
1019,6
1020,6
1023,1
1024,6
1024,36
1025,7
1026,4
1027,4
1029,15
1029,10
1030,10
1030,1
1032,12
1033,4
1037,10
1043,5
1044,5
1047,10
1049,6
1050,6
1051,6
1053,6
1057,1
1058,15
1058,13
1058,10
1060,10
1063,40
1063,3
1063,8
1065,1
1066,9
1067,7
1067,6
1073,4
1077,4
1078,4
1080,3
1080,43
1083,2
1086,5
1087,5
1088,5
1090,6
1093,1
1094,6
1095,6
1096,6
1097,4
1099,6
1104,1
1105,3
1106,3
1107,6
1110,3
1112,6
1113,4
1116,1
1118,1
1118,12
1124,7
1124,6
1126,5
1128,10
1128,3
1128,13
1132,4
1135,4
1136,10
1137,7
1139,6
1140,7
1143,6
1146,7
1146,1
1146,40
1149,1
1149,6
1149,7
1150,3
1152,3
1153,3
1159,3
1160,14
1163,3
1165,10
1167,10
1173,36
1175,2
1175,3
1177,4
1177,1
1179,36
1179,3
1180,10
1186,13
1186,1
1186,4
1190,1
1190,4
1192,4
1193,4
1194,6
1195,6
1206,6
1208,6
