film,genre
1,1
1,2
2,3
3,3
5,1
13,2
14,3
15,4
16,5
17,3
18,6
18,7
24,1
24,2
42,6
69,6
69,9
69,10
76,2
76,9
2857,6
2857,10
2928,1
2929,2
2929,9
2929,11
2930,2
2930,3
2944,2
2944,6
2945,2
2945,4
2959,3
2985,6
2985,14
2986,10
2986,16
2988,2
3011,10
3011,11
3011,16
3012,6
3012,13
3013,6
3013,13
3036,2
3036,13
3037,6
3038,2
3038,13
3040,2
3040,13
3041,2
3041,6
3041,13
3042,2
3042,9
3043,1
3043,2
3044,2
3076,6
3077,2
3077,3
3116,5
3116,9
3116,10
3117,6
3117,7
3137,2
3153,2
3153,6
3154,3
3155,2
3155,6
3155,9
3158,2
3179,2
3179,4
3179,12
3180,2
3180,11
3181,9
3181,17
3182,3
3182,7
3183,4
3183,6
3184,2
3184,6
3184,13
3185,1
3185,4
3186,13
3187,6
3187,17
3188,2
3188,6
3188,13
3189,9
3228,2
3228,4
3228,9
3229,6
3229,10
3229,11
3230,8
3230,12
3230,15
3231,2
3231,6
3232,2
3232,6
3232,13
3233,6
3233,7
3233,13
3234,1
3280,8
3281,6
3281,7
3281,13
3305,6
3332,2
3332,9
3333,1
3333,2
3333,7
3334,2
3335,6
3363,2
3363,6
3363,13
3364,6
3365,2
3366,3
3366,8
3367,6
3367,13
3368,2
3369,6
3370,2
3370,6
3392,6
3392,16
3393,8
3393,9
3393,12
3394,6
3395,3
3395,15
3396,6
3397,6
3398,4
3398,17
3399,2
3399,6
3399,13
3400,2
3404,2
3404,10
3430,2
3430,8
3431,2
3431,6
3432,6
3432,11
3433,3
3434,6
3435,2
3435,6
3436,3
3437,2
3438,6
3439,3
3440,3
3441,9
3441,10
3441,11
3442,9
3442,13
3443,3
3444,8
3444,16
3445,1
3445,12
3446,3
3446,14
3447,2
3447,13
3448,2
3448,8
3452,4
3452,6
3485,2
3485,6
3485,11
3486,6
3486,10
3486,16
3487,2
3487,6
3487,13
3488,6
3489,8
3489,10
3490,1
3490,12
3491,6
3491,13
3492,6
3492,14
3493,6
3512,6
3512,13
3513,6
3513,7
3513,18
3514,3
3515,3
3516,3
3517,3
3518,1
3519,2
3519,6
3520,3
3520,18
3521,3
3523,2
3523,13
3543,2
3543,6
3544,1
3544,4
3544,12
3545,3
3546,3
3547,6
3548,3
3548,18
3549,3
3550,6
3551,1
3551,6
3552,3
3553,3
3554,8
3557,2
3577,2
3577,14
3578,5
3578,8
3578,9
3578,12
3578,16
3579,6
3580,8
3580,12
3581,2
3581,3
3582,2
3604,3
3605,1
3605,5
3605,9
3605,14
3605,16
3606,6
3606,14
3606,18
3607,8
3607,10
3607,16
3609,2
3629,6
3629,10
3629,11
3629,16
3630,8
3630,10
3631,6
3632,3
3633,6
3633,10
3661,2
3661,12
3661,13
3662,6
3662,13
3663,6
3663,8
3663,10
3664,1
3664,6
3665,2
3665,10
3666,2
3667,2
3667,13
3668,3
3669,2
3669,8
3670,8
3670,10
3670,16
3671,8
3671,10
3671,17
3672,5
3672,8
3672,10
3673,17
3673,18
3674,6
3674,12
3675,4
3675,6
3676,6
3676,10
3677,4
3677,17
3678,6
3719,2
3719,6
3719,9
3719,11
3720,2
3720,9
3720,16
3721,2
3721,6
3721,13
3722,6
3723,2
3723,6
3724,2
3724,14
3728,5
3728,14
3728,17
3766,3
3800,4
3800,12
3800,17
3801,6
3801,13
3802,3
3802,18
3804,6
3804,10
3804,13
3806,6
3806,9
3806,15
3806,18
3809,6
3899,1
3899,5
3899,9
3900,3
3902,2
3902,6
3902,13
3903,2
3903,6
3903,11
3961,5
3961,8
3998,6
3998,13
3998,15
3999,9
3999,10
3999,11
4000,6
4000,9
4000,10
4001,6
4001,9
4001,10
4002,6
4002,7
4003,2
4003,4
4004,6
4034,10
4035,1
4035,2
4035,5
4035,6
4035,16
4036,2
4036,13
4037,10
4038,3
4039,7
4039,13
4040,6
4041,8
4041,10
4041,16
4042,8
4042,10
4042,16
4043,8
4043,10
4044,6
4044,9
4088,6
4088,18
4090,6
4090,13
4108,1
4108,2
4108,4
4135,3
4150,1
4150,8
4150,9
4150,17
4151,9
4151,12
4152,7
4152,13
4153,6
4154,6
4154,9
4154,10
4155,5
4155,6
4155,14
4155,16
4189,2
4189,13
4190,6
4190,8
4190,10
4190,18
4191,6
4191,13
4192,6
4192,13
4193,2
4193,3
4193,6
4194,2
4194,6
4195,6
4196,3
4240,6
4240,18
4241,3
4242,6
4242,12
4242,13
4244,13
4244,16
4245,2
4245,6
4245,13
4276,10
4276,16
4277,2
4277,6
4277,13
4278,2
4279,5
4279,10
4279,16
4280,6
4281,2
4281,6
4281,13
4282,3
4283,2
4284,2
4284,4
4284,7
4285,1
4285,2
4285,9
4285,11
4285,14
4286,2
4287,2
4287,13
4321,6
4321,10
4321,16
4322,4
4322,6
4323,6
4324,3
4352,2
4352,7
4352,13
4352,14
4353,2
4353,6
4353,13
4354,2
4354,9
4354,17
4355,2
4355,6
4356,6
4356,10
4356,16
4357,6
4358,2
4358,6
4359,6
4384,6
4384,9
4384,17
4385,6
4385,10
4385,11
4386,6
4386,13
4387,6
4387,13
4388,6
4388,10
4388,11
4389,2
4389,8
4389,10
4392,6
4393,6
4413,1
4413,6
4414,1
4414,2
4414,4
4414,12
4414,16
4415,1
4415,5
4415,9
4415,15
4416,6
4416,10
4417,2
4451,6
4451,10
4452,6
4452,11
4487,3
4488,1
4488,5
4489,6
4490,2
4490,6
4491,2
4491,4
4496,2
4496,3
4497,5
4497,9
4497,15
4497,17
4524,6
4524,10
4524,11
4525,6
4525,13
4526,3
4527,6
4556,1
4556,6
4557,1
4557,5
4557,6
4557,9
4557,15
4557,17
4573,3
4599,2
4599,9
4599,11
4600,2
4600,8
4600,9
4600,12
4601,6
4601,9
4617,1
4617,5
4617,9
4617,17
4618,1
4618,4
4618,9
4618,17
4619,1
4619,11
4619,12
4619,16
4620,6
4620,9
4620,11
4650,3
4650,6
4650,10
4650,11
4650,16
4651,2
4651,9
4651,11
4653,2
4665,8
4665,10
4665,11
4665,16
4666,5
4666,6
4666,10
4667,3
4668,2
4668,13
4693,8
4693,9
4693,16
4694,6
4694,9
4694,10
4694,15
4694,17
4695,10
4695,13
4696,2
4697,6
4697,13
4698,6
4698,18
4699,2
4700,6
4700,13
4702,2
4735,8
4735,10
4735,13
4736,2
4736,6
4737,6
4737,13
4779,2
4779,6
4779,9
4780,5
4780,6
4780,13
4781,6
4781,13
4781,14
4782,2
4782,10
4782,11
4782,16
4870,4
4870,12
4871,8
4872,2
4872,14
4908,6
4940,2
4941,2
4941,6
4941,13
4943,2
4943,4
4943,6
4943,7
4975,2
4975,8
4976,1
4976,2
4976,7
4977,8
4977,10
4977,16
5016,1
5016,5
5016,6
5017,6
5017,10
5017,14
5017,16
5018,1
5018,4
5018,12
5018,17
5037,4
5037,6
5038,3
5039,2
5069,8
5069,11
5069,16
5070,6
5071,1
5087,2
5087,6
5087,13
5088,6
5088,15
5088,18
5089,3
5089,6
5090,8
5090,10
5091,11
5123,6
5123,13
5124,2
5124,13
5125,2
5125,6
5125,13
5126,2
5126,4
5127,8
5128,2
5128,6
5129,2
5129,11
5161,9
5161,11
5162,3
5163,6
5163,10
5164,6
5164,11
5164,13
5165,2
5166,2
5166,6
5166,13
5167,2
5168,8
5168,12
5169,1
5169,2
5170,6
5171,3
5173,6
5174,6
5174,10
5174,18
5175,6
5175,13
5175,18
5176,3
5218,5
5218,6
5218,10
5219,2
5219,6
5219,10
5219,16
5220,3
5221,5
5221,17
5222,5
5222,8
5222,14
5223,1
5223,5
5223,16
5224,2
5224,6
5224,13
5225,6
5225,9
5225,10
5226,3
5226,7
5227,3
5267,6
5268,2
5268,3
5269,3
5270,2
5270,6
5271,6
5271,13
5301,8
5301,10
5301,11
5302,2
5302,6
5302,13
5303,3
5303,7
5333,2
5333,9
5333,13
5334,13
5335,3
5336,1
5336,2
5336,4
5336,12
5336,14
5357,2
5357,13
5359,3
5360,6
5360,18
5361,2
5361,8
5362,2
5362,6
5363,2
5363,6
5363,13
5364,10
5364,16
5399,1
5399,4
5399,12
5399,17
5400,5
5400,6
5400,13
5401,5
5401,9
5401,10
5401,11
5402,1
5402,2
5403,3
5405,1
5405,4
5406,2
5406,13
5407,6
5410,2
5410,12
5439,2
5439,4
5440,2
5440,6
5440,11
5441,2
5441,6
5441,11
5442,3
5443,9
5444,9
5446,2
5446,4
5447,8
5490,5
5490,6
5490,9
5490,10
5490,11
5491,3
5492,11
5492,16
5514,8
5514,10
5515,9
5515,17
5530,2
5545,6
5545,10
5545,11
5546,4
5546,6
5546,17
5547,3
5548,2
5548,13
5571,3
5572,2
5573,6
5573,13
5603,6
5604,2
5604,6
5604,13
5605,2
5605,7
5605,18
5606,2
5606,8
5607,2
5607,4
5607,13
5610,2
5636,2
5636,5
5636,17
5637,9
5637,12
5637,17
5638,2
5638,4
5638,12
5639,2
5639,4
5639,6
5639,14
5640,2
5641,3
5642,6
5643,2
5644,3
5644,7
5645,7
5646,6
5646,13
5650,6
5689,8
5689,10
5689,16
5690,1
5690,5
5690,8
5690,12
5691,6
5691,13
5716,6
5716,14
5753,2
5790,4
5790,6
5790,13
5791,2
5791,6
5792,3
5793,9
5796,2
5796,6
5798,6
5823,2
5823,6
5824,8
5824,10
5824,16
5825,1
5825,5
5826,2
5826,6
5827,2
5827,13
5828,9
5828,10
5828,11
5935,1
5935,5
5935,9
5935,17
5936,1
5936,2
5937,2
5937,13
5938,6
5939,3
5940,9
5940,13
5940,17
5941,6
5942,2
5944,1
5944,2
5944,6
5946,2
5968,1
5968,2
5968,6
5969,6
5969,7
5969,13
5970,3
5971,6
5971,8
5974,1
5974,2
5992,6
6008,3
6008,6
6010,1
6010,2
6034,8
6035,1
6035,6
6035,11
6061,2
6061,6
6062,1
6062,3
6062,12
6084,2
6084,9
6084,17
6085,6
6086,5
6086,8
6086,14
6089,6
6121,9
6121,12
6121,16
6121,17
6122,6
6123,3
6124,6
6124,13
6125,4
6125,6
6126,2
6126,6
6128,1
6128,2
6128,6
6128,10
6128,13
6130,6
6130,13
6132,5
6132,9
6132,10
6172,5
6172,8
6172,9
6172,17
6236,6
6236,13
6265,3
6266,8
6266,9
6266,10
6266,16
6301,6
6301,14
6302,2
6302,6
6303,2
6303,9
6317,2
6318,6
6318,15
6318,18
6320,8
6320,10
6320,16
6321,2
6321,6
6324,5
6324,9
6367,3
6368,1
6368,6
6368,11
6368,16
6369,6
6369,9
6370,4
6370,6
6371,2
6371,8
6372,2
6419,1
6419,9
6419,11
6419,16
6420,8
6421,2
6421,8
6422,1
6422,2
6422,4
6423,3
6424,2
6424,7
6424,13
6452,2
6452,13
6452,14
6453,3
6453,14
6454,3
6474,2
6474,6
6474,9
6474,19
6499,9
6499,10
6499,11
6499,16
6499,17
6500,6
6500,10
6500,16
6501,2
6501,6
6502,3
6503,3
6504,4
6504,17
6545,6
6546,2
6547,2
6573,6
6573,11
6574,2
6575,6
6576,6
6576,15
6577,2
6577,13
6578,4
6578,6
6623,1
6623,2
6623,6
6624,2
6624,13
6625,6
6626,2
6626,6
6627,6
6627,13
6628,2
6629,6
6629,13
6630,6
6631,2
6631,4
6677,6
6677,13
6678,6
6679,1
6679,2
6679,5
6679,9
6680,1
6680,2
6680,9
6681,5
6681,8
6681,10
6681,14
6682,2
6682,7
6684,6
6684,13
6685,3
6686,2
6686,4
6686,6
6722,3
6723,6
6723,14
6724,3
6756,4
6756,5
6756,6
6756,12
6781,6
6782,3
6783,6
6783,10
6783,16
6784,6
6784,11
6815,5
6815,9
6815,17
6816,2
6816,13
6817,6
6818,6
6819,6
6820,6
6820,9
6820,17
6822,11
6845,6
6845,9
6845,18
6846,3
6846,6
6875,8
6875,10
6875,16
6876,2
6876,4
6877,2
6877,13
6878,2
6878,6
6878,9
6879,15
6880,6
6880,9
6918,2
6918,8
6919,1
6919,5
6919,12
6920,2
6920,9
6921,2
6921,6
6922,4
6923,5
6923,10
6925,1
6925,6
6925,13
6927,1
6928,1
6928,18
7017,2
7017,3
7018,2
7018,3
7031,6
7032,4
7032,6
7033,2
7033,6
7034,8
7062,3
7063,4
7063,6
7064,3
7065,6
7066,3
7066,14
7101,9
7101,17
7101,18
7102,3
7103,2
7103,13
7104,8
7104,9
7105,3
7105,11
7135,2
7135,6
7135,13
7136,6
7136,10
7136,13
7137,3
7181,3
7182,11
7183,2
7183,13
7184,9
7185,8
7185,10
7185,16
7186,6
7187,9
7187,13
7187,19
7189,6
7191,6
7259,9
7259,12
7259,17
7260,3
7261,3
7262,6
7262,10
7262,11
7262,16
7285,6
7285,10
7285,11
7287,3
7288,8
7288,10
7329,2
7329,6
7329,13
7330,3
7331,3
7365,6
7365,9
7365,17
7366,2
7366,8
7366,9
7367,2
7367,12
7368,3
7369,2
7369,4
7369,6
7370,6
7372,6
7396,2
7396,6
7396,13
7397,6
7397,10
7398,6
7399,6
7399,13
7400,2
7400,6
7400,13
7401,3
7401,7
7402,1
