film,nom
1,Animation
1,Comedy
2930,Documentary
2930,Comedy
3036,Romance
3036,Comedy
3037,Drama
3179,Fantasy
3179,Comedy
3179,Family
3182,Music
3182,Documentary
3185,Animation
3185,Family
3234,Animation
3332,Comedy
3332,Action
3335,Drama
3366,Documentary
3366,Horror
3392,Mystery
3392,Drama
3430,Comedy
3430,Horror
3486,Mystery
3486,Drama
3486,Thriller
3487,Drama
3487,Romance
3487,Comedy
3488,Drama
3521,Documentary
3578,Mystery
3578,Science Fiction
3578,Action
3578,Horror
3578,Fantasy
3580,Fantasy
3580,Horror
3605,Animation
3605,Action
3605,Science Fiction
3605,Mystery
3605,TV Movie
3629,Crime
3629,Mystery
3629,Thriller
3629,Drama
3663,Horror
3663,Drama
3663,Thriller
3670,Thriller
3670,Horror
3670,Mystery
3724,Comedy
3724,TV Movie
3800,Adventure
3800,Fantasy
3800,Family
4153,Drama
4242,Fantasy
4242,Romance
4242,Drama
4276,Thriller
4276,Mystery
4280,Drama
4490,Comedy
4490,Drama
4524,Drama
4524,Thriller
4524,Crime
4693,Mystery
4693,Horror
4693,Action
4781,TV Movie
4781,Drama
4781,Romance
5038,Documentary
5071,Animation
5161,Crime
5161,Action
5164,Drama
5164,Crime
5164,Romance
5166,Comedy
5166,Drama
5166,Romance
5168,Fantasy
5168,Horror
5171,Documentary
5218,Drama
5218,Science Fiction
5218,Thriller
5268,Comedy
5268,Documentary
5271,Drama
5271,Romance
5400,Science Fiction
5400,Drama
5400,Romance
5401,Action
5401,Crime
5401,Science Fiction
5401,Thriller
5439,Comedy
5439,Family
5442,Documentary
5446,Comedy
5446,Family
5546,Drama
5546,Family
5546,Adventure
5605,Comedy
5605,Music
5605,History
5638,Fantasy
5638,Family
5638,Comedy
5639,TV Movie
5639,Comedy
5639,Family
5639,Drama
5644,Music
5644,Documentary
5645,Music
5753,Comedy
5823,Comedy
5823,Drama
5824,Mystery
5824,Horror
5824,Thriller
6008,Drama
6008,Documentary
6061,Comedy
6061,Drama
6128,Animation
6128,Romance
6128,Thriller
6128,Drama
6128,Comedy
6266,Horror
6266,Mystery
6266,Thriller
6266,Action
6302,Comedy
6302,Drama
6367,Documentary
6453,TV Movie
6453,Documentary
6502,Documentary
6503,Documentary
6678,Drama
6684,Romance
6684,Drama
6722,Documentary
6723,Drama
6723,TV Movie
6782,Documentary
6818,Drama
7102,Documentary
7185,Thriller
7185,Horror
7185,Mystery
7186,Drama
7287,Documentary
7288,Thriller
7288,Horror
7331,Documentary
7429,Drama
7429,Thriller
7433,Documentary
7478,Comedy
7478,Drama
7479,Comedy
7479,Science Fiction
7479,Drama
7480,Comedy
7480,Romance
7480,Drama
7481,Thriller
7481,Drama
7481,Horror
7484,Comedy
7484,Animation
7515,Drama
7516,Drama
7542,Thriller
7542,Drama
7565,Comedy
7565,Romance
7593,Romance
7593,Drama
7593,Music
7611,Thriller
7611,Drama
7616,Drama
7616,Action
7616,Adventure
7616,Thriller
7622,Documentary
7622,Music
7771,Documentary
7896,History
7896,TV Movie
7896,Drama
7921,Comedy
7966,Drama
7967,Fantasy
7967,Documentary
7973,Horror
7973,Animation
7973,Science Fiction
7978,Documentary
8120,Crime
8120,Action
8120,Thriller
8120,Romance
8206,Music
8206,Drama
8206,Comedy
8269,Music
8269,Documentary
8690,Documentary
8910,Documentary
9180,Drama
9530,Animation
9530,Adventure
9530,Fantasy
9530,Family
9540,Drama
9540,Science Fiction
9540,Romance
9720,Animation
10020,Comedy
10020,Romance
10020,Action
11450,History
11450,Drama
11480,Drama
11520,Thriller
11520,Drama
11520,Crime
11700,Drama
11700,History
11700,Comedy
11770,Horror
11770,Mystery
12370,Documentary
13090,Adventure
13090,Thriller
13090,Action
13380,Romance
15510,Adventure
15510,Fantasy
15510,Family
