Acteur,noteMoy
Styles Harry,3.9766666666666666
Tae-ri Kim,3.8233333333333337
Fielder Nathan,3.782857142857143
Kitazawa Riki,3.7616666666666667
Yoo Gong,3.65
Tunçer Kubilay,3.61
Urayama Jin,3.602222222222222
Geffen David,3.59125
Orencio Hazel,3.575714285714286
Hedges Lucas,3.569090909090909
Dong-yong Lee,3.564285714285714
Duress Buddy,3.5533333333333332
Amstell Simon,3.5500000000000003
Knezović Mario,3.5233333333333334
Lange Eric,3.5175
Bale Christian,3.500833333333333
Lawrence Carolyn,3.4983333333333335
Hamano Daiki,3.4966666666666666
Je-gi Bae,3.4957142857142856
Ji-sub So,3.492857142857143
Cheol-soo Lim,3.4883333333333333
Manikandan K.,3.4857142857142853
Hae-soo Park,3.483333333333333
Paden Audu,3.4823076923076925
Ye-jin Son,3.4810000000000003
Heck Yves,3.4714285714285715
Seong-won Choi,3.4699999999999998
Letts Tracy,3.467777777777778
Ji-ho Ahn,3.4583333333333335
Burnham Bo,3.456666666666667
Joo-hyuk Nam,3.4528571428571433
Theroux Louis,3.4517391304347824
Pirrie Chloe,3.4491666666666667
Seo-jun Park,3.446363636363636
Joon-sang Tang,3.4450000000000003
Yoon-seok Kim,3.438181818181818
Ooh-jin Kim,3.436666666666667
Mulligan Carey,3.431
Gilgun Joseph,3.43
Kuruçim Nalan,3.4266666666666663
Christie Gwendoline,3.424
Jung-min Hwang,3.42
Hyo-joo Han,3.4183333333333334
Sheridan Jamey,3.414285714285714
Hae-jun Park,3.410769230769231
Rawlins Adrian,3.41
 Gajaraj,3.3975
Alcaide-Backlund Isidor,3.3966666666666665
Jacob Stephanie,3.393333333333333
Feild JJ,3.3925
Lotus Flying,3.391666666666667
Tae-jun Kim,3.385
Carbonell Nestor,3.385
Seo-hwan Lee,3.3771428571428572
Albright Joey,3.3757142857142854
Khurrana Ayushmann,3.375
Dong-hyeon Chae,3.373333333333333
Furukawa Makoto,3.372666666666667
Martin Murugan,3.367142857142857
Tornving Mikael,3.367
Velraj R.,3.3666666666666667
Gaston Michael,3.365
Jones Tattiawna,3.365
Santrac Zeljko,3.3633333333333333
Kumar Vijay,3.3628571428571425
Mashiba Mari,3.3628571428571425
Svedberg Mårten,3.361111111111111
Maddalena Julie,3.35875
Forestier Sara,3.3579999999999997
Ahmed Riz,3.3573333333333335
Yoo-jun Lee,3.356666666666667
Gyllenhaal Jake,3.35578947368421
Jenner Blake,3.355
Dong-hee Lee,3.355
Dano Paul,3.355
Newton Teddy,3.355
Bobb Jeremy,3.3542857142857145
Jackson Jr. O'Shea,3.3516666666666666
Hernández Maximiliano,3.3516666666666666
Yeong-gyun Yoon,3.34875
Jung-kook Woo,3.348333333333333
John-Kamen Hannah,3.346666666666667
Soo-bin Chae,3.3414285714285716
Joon-ho Heo,3.341111111111111
Brealey Louise,3.337142857142857
Oohara Megumi,3.336666666666667
Bentaïeb Saadia,3.3333333333333335
Gosling Ryan,3.328888888888889
Dixon Richard,3.328333333333333
Spreitz Micke,3.3249999999999997
Wong Wa-Wo Jimmy,3.3216666666666668
Jones Nicholas,3.3200000000000003
Hayashi Tamao,3.3200000000000003
Ivanek Zeljko,3.3185714285714285
Taslim Joe,3.3183333333333334
Seong-bong Ahn,3.318
Garfield Andrew,3.3172727272727274
Sesh Adivi,3.317
Mukerji Rani,3.315
Warren Amanda,3.3137499999999998
Goode Jonquil,3.3133333333333335
Jordan James,3.3000000000000003
Welsh Anthony,3.2975
Russell Kurt,3.297272727272727
Bo-young Park,3.296666666666667
Goth Mia,3.295
Hye-jin Jang,3.2911111111111113
Monaghan Michelle,3.289
Carmichael Jerrod,3.283
Domingo Colman,3.282857142857143
Parks James,3.2733333333333334
Camp Bill,3.2731818181818184
Alwyn Joe,3.2728571428571427
Martínez Oscar,3.271818181818182
Galone Gary,3.2716666666666665
Beder Natalie,3.2714285714285714
Chalamet Timothée,3.2708333333333335
Go-eun Kim,3.2700000000000005
Pieczyńska Małgorzata,3.2675
 Prabhas,3.266666666666667
Orser Leland,3.265
Brooks Albert,3.262857142857143
Vilhena Paulo,3.262857142857143
Stott Ken,3.2577777777777777
Kapoor Ranbir,3.256153846153846
Harington Kit,3.253
So-suk Kim,3.2516666666666665
VanCamp Emily,3.2514285714285713
Hardie Benedict,3.25
Torre Federico,3.248333333333333
Robinson Cindy,3.2464705882352938
Rossignon Christophe,3.244285714285714
Phoenix Joaquin,3.242857142857143
Considine Paddy,3.2423076923076923
Bernthal Jon,3.238571428571429
Glen Georgie,3.23375
Tyree Henry Brian,3.2329999999999997
Ineson Ralph,3.232727272727273
Marshall Vanessa,3.2325
Genovesi Alessandro,3.231666666666667
Hewson Eve,3.2283333333333335
Panendra Dea,3.2283333333333335
Davis Judy,3.2271428571428573
Sung-kyoung Lee,3.223333333333333
Soller Kyle,3.2222222222222223
Maguire Tobey,3.2214285714285715
Coutinho Gillray,3.2183333333333333
Castle Maggie,3.2183333333333333
Wasikowska Mia,3.2176923076923076
Ridgewell Thomas,3.217
